,content,date,text,Length,sid_sentiment,finbert_label
2,"['current', 'valu', 'privat', 'market', 'becom', 'one', 'biggest', 'histori', 'there', 'one', 'competitor', 'set', 'make', 'pretti', 'penni', 'deal']",20210623 2125590000,current valu privat market becom one biggest histori there one competitor set make pretti penni deal,16,0.0,0
3,"['interest', 'piec', 'compani', 'head', 'good', 'us', 'billion', 'one', 'year']",20210623 1616020000,interest piec compani head good us billion one year,9,0.7096,0
4,"['dingdong', 'miss', 'fresh', 'take']",20210623 1219450000,dingdong miss fresh take,4,0.1779,0
8,"['check', 'articl', 'market']",20210623 0647090000,check articl market,3,0.0,0
9,"['ride', 'new', 'york', 'help', 'expand', 'beyond', 'china', 'economist']",20210623 0411090000,ride new york help expand beyond china economist,8,0.6124,0
10,['come'],20210624 2357450000,come,1,0.0,0
12,"['compani', 'rais', 'billion', 'price', 'rang']",20210624 2351460000,compani rais billion price rang,5,0.0,0
13,"['giant', 'billion', 'us']",20210624 2322440000,giant billion us,3,0.0,0
14,"['valuat', 'target', 'billion', 'billion', 'via']",20210624 2322400000,valuat target billion billion via,5,0.0,0
15,"['wall', 'street', 'journal', 'rais', 'nearli', 'billion']",20210624 2319330000,wall street journal rais nearli billion,6,0.0,0
16,"['global', 'set', 'target', 'valuat', 'upcom', 'accord']",20210624 2319060000,global set target valuat upcom accord,6,0.0,0
17,"['ae', 'na', 'de', 'nova', 'york', 'china']",20210624 2317110000,ae na de nova york china,6,0.0,0
18,"['valuat', 'target', 'billion', 'billion', 'compani', 'rais', 'billion', 'price', 'r']",20210624 2316180000,valuat target billion billion compani rais billion price r,9,0.0,0
19,"['giant', 'billion', 'us', 'baba']",20210624 2316170000,giant billion us baba,4,0.0,0
20,"['rais', 'nearli', 'billion']",20210624 2310220000,rais nearli billion,3,0.0,0
21,"['valuat', 'target', 'billion', 'billion']",20210624 2308040000,valuat target billion billion,4,0.0,0
22,"['valuat', 'target', 'billion', 'billion']",20210624 2308040000,valuat target billion billion,4,0.0,0
23,"['compani', 'rais', 'billion', 'price', 'rang', 'valuat', 'billion', 'billion', 'v']",20210624 2303500000,compani rais billion price rang valuat billion billion v,9,0.0,0
24,"['valuat', 'target', 'billion', 'billion', 'compani', 'rais', 'billion', 'price', 'rang']",20210624 2301350000,valuat target billion billion compani rais billion price rang,9,0.0,0
25,"['valuat', 'target', 'billion', 'billion']",20210624 2301340000,valuat target billion billion,4,0.0,0
26,"['valuat', 'target', 'billion', 'billion']",20210624 2300190000,valuat target billion billion,4,0.0,0
27,"['global', 'valuat', 'billion', 'billion', 'us', 'accord', 'latest', 'public', 'file']",20210624 2259040000,global valuat billion billion us accord latest public file,9,0.0,0
28,"['valuat', 'target', 'billion', 'billion']",20210624 2258410000,valuat target billion billion,4,0.0,0
29,"['valuat', 'target', 'billion', 'billion']",20210624 2257210000,valuat target billion billion,4,0.0,0
30,"['giant', 'look', 'rais', 'much', 'billion', 'one', 'biggest', 'us', 'last', 'decad']",20210624 2245010000,giant look rais much billion one biggest us last decad,10,0.0,0
31,"['giant', 'look', 'rais', 'much', 'billion', 'one', 'biggest', 'us', 'last', 'decad']",20210624 2245010000,giant look rais much billion one biggest us last decad,10,0.0,0
32,"['ae', 'na', 'de', 'nova', 'york', 'china']",20210624 2235300000,ae na de nova york china,6,0.0,0
33,"['global', 'rais', 'us']",20210624 2219130000,global rais us,3,0.0,0
34,"['giant', 'global', 'billion', 'us']",20210624 2200270000,giant global billion us,4,0.0,0
35,"['china', 'base', 'mobil', 'technolog', 'platform', 'global', 'million', 'rang', 'cap', 'date']",20210624 2144420000,china base mobil technolog platform global million rang cap date,10,0.0,0
36,"['offer', 'list']",20210624 2129490000,offer list,2,0.0,0
37,"['market', 'begun', 'antitrust', 'probe', 'firm', 'compani', 'us', 'latest', 'crackdown', 'monopolist', 'tech', 'full']",20210624 1600570000,market begun antitrust probe firm compani us latest crackdown monopolist tech full,12,0.0,-1
38,"['speed', 'past', 'antitrust', 'probe']",20210624 1137320000,speed past antitrust probe,4,0.0,0
40,"['giant', 'could', 'biggest', 'year']",20210624 0219340000,giant could biggest year,4,0.0,0
43,"['target', 'billion', 'farewel', 'show', 'stake', 'via', 'yahoo']",20210625 2300310000,target billion farewel show stake via yahoo,7,0.0,0
44,"['us', 'week', 'ahead', 'debut', 'week']",20210625 2244140000,us week ahead debut week,5,0.0,0
45,"['stock', 'loser', 'start', 'invest', 'stock', 'money', 'invest', 'financ', 'trade']",20210625 2240280000,stock loser start invest stock money invest financ trade,9,-0.5267,0
46,"['see', 'legaci', 'credit', 'street', 'earn', 'mislead', 'new', 'research', 'model', 'portfolio']",20210625 2200200000,see legaci credit street earn mislead new research model portfolio,10,0.3818,-1
47,"['see', 'legaci', 'credit', 'street', 'earn', 'mislead', 'new', 'research', 'model', 'portfolio']",20210625 2200060000,see legaci credit street earn mislead new research model portfolio,10,0.3818,-1
48,"['global', 'initi', 'public', 'offer', 'rais', 'billion', 'unit', 'cover', 'first', 'day']",20210625 2200010000,global initi public offer rais billion unit cover first day,10,0.0,0
49,"['valuat', 'us', 'amid']",20210625 2152280000,valuat us amid,3,0.0,0
50,"['epic', 'us', 'china', 'crackdown', 'cash', 'burn']",20210625 2151520000,epic us china crackdown cash burn,6,0.0,-1
51,"['epic', 'us', 'china', 'crackdown', 'cash', 'burn']",20210625 2151510000,epic us china crackdown cash burn,6,0.0,-1
52,"['mani', 'actual', 'pretti', 'good', 'china', 'offer', 'price', 'class', 'start', 'trade', 'wed', 'compani', 'valu', 'size', 'interest', 'big', 'fund']",20210625 2150090000,mani actual pretti good china offer price class start trade wed compani valu size interest big fund,17,0.7096,0
53,"['compani', 'potenti', 'becom', 'one', 'biggest', 'valuat', 'billion', 'could', 'give', 'us', 'market', 'thank', 'articl']",20210625 2136080000,compani potenti becom one biggest valuat billion could give us market thank articl,13,0.3612,1
54,"['stock', 'loser', 'start', 'stock']",20210625 2135090000,stock loser start stock,4,-0.5267,0
55,"['stock', 'loser', 'start']",20210625 2050330000,stock loser start,3,-0.5267,-1
56,"['da', 'de', 'us', 'em', 'na', 'de']",20210625 2038090000,da de us em na de,6,0.0,0
57,"['rais', 'billion', 'valu', 'compani', 'billion', 'via', 'china']",20210625 2033030000,rais billion valu compani billion via china,7,0.0,0
58,"['da', 'de', 'us', 'em', 'na', 'de']",20210625 2031020000,da de us em na de,6,0.0,0
59,"['brief', 'valuat', 'stock', 'exchang', 'asana', 'via']",20210625 2013510000,brief valuat stock exchang asana via,6,0.0,0
60,"['know', 'play', 'stock']",20210625 2000040000,know play stock,3,0.34,0
61,"['simpl', 'unlik', 'level', 'ventur', 'capit', 'invest', 'demand', 'cash', 'via', 'also', 'far', 'exploit', 'labor', 'might', 'produc', 'china']",20210625 1948390000,simpl unlik level ventur capit invest demand cash via also far exploit labor might produc china,16,-0.2263,0
62,"['know', 'play', 'stock']",20210625 1933350000,know play stock,3,0.34,0
63,"['million', 'sold', 'us', 'could', 'rais', 'much', 'billion', 'huge', 'sum']",20210625 1927380000,million sold us could rais much billion huge sum,9,0.3182,0
64,"['billion', 'us', 'fulli', 'cover', 'financ', 'trade', 'invest', 'trade']",20210625 1909390000,billion us fulli cover financ trade invest trade,8,0.0,0
65,"['compani', 'rais', 'billion', 'price', 'rang']",20210625 1902040000,compani rais billion price rang,5,0.0,0
66,"['de', 'de', 'na', 'us', 'e', 'us']",20210625 1828460000,de de na us e us,6,0.0,0
67,"['china', 'crackdown', 'cash', 'burn']",20210625 1821210000,china crackdown cash burn,4,0.0,-1
68,"['tech', 'updat', 'giant', 'reportedli', 'billion', 'valuat', 'upcom', 'us', 'discuss']",20210625 1819370000,tech updat giant reportedli billion valuat upcom us discuss,9,0.0,0
69,"['valuat', 'upcom']",20210625 1810410000,valuat upcom,2,0.0,0
70,"['china', 'scrutini', 'pall']",20210625 1808060000,china scrutini pall,3,0.0,0
71,"['know', 'play', 'stock', 'invest', 'stock']",20210625 1803030000,know play stock invest stock,5,0.34,0
72,"['da', 'ae', 'na', 'de', 'nova', 'york', 'de', 'da', 'ser']",20210625 1755120000,da ae na de nova york de da ser,9,0.0,0
73,"['epic', 'us', 'china', 'crackdown', 'cash', 'burn', 'global', 'within', 'strike', 'distanc', 'one']",20210625 1750280000,epic us china crackdown cash burn global within strike distanc one,11,-0.128,-1
74,"['top', 'stori', 'firm', 'cover', 'first', 'day', 'see']",20210625 1746450000,top stori firm cover first day see,7,0.2023,0
75,"['valuat', 'target', 'follow', 'firm', 'baba']",20210625 1737380000,valuat target follow firm baba,5,0.0,0
76,"['biggest', 'sinc', 'rush', 'slice', 'us']",20210625 1736090000,biggest sinc rush slice us,5,0.0,0
77,"['debut', 'new', 'york', 'stock', 'exchang', 'biggest', 'us']",20210625 1735050000,debut new york stock exchang biggest us,7,0.0,0
78,"['epic', 'us', 'china', 'crackdown', 'cash']",20210625 1729110000,epic us china crackdown cash,5,0.0,-1
79,"['global', 'registr', 'statement', 'offer']",20210625 1728330000,global registr statement offer,4,0.0,0
80,"['top', 'firm', 'cover', 'first', 'day', 'see']",20210625 1723200000,top firm cover first day see,6,0.2023,0
81,"['global', 'de', 'ser', 'na', 'de', 'de', 'nova', 'em']",20210625 1723070000,global de ser na de de nova em,8,0.0,0
82,"['appli', 'rais', 'new', 'york', 'initi', 'public', 'offer', 'set', 'powerhous', 'debut', 'compani', 'us', 'sinc']",20210625 1719000000,appli rais new york initi public offer set powerhous debut compani us sinc,13,0.0,0
83,"['giant', 'billion', 'valuat', 'via']",20210625 1717140000,giant billion valuat via,4,0.0,0
84,"['debut', 'new', 'york', 'stock', 'exchang', 'biggest', 'us', 'via', 'entrepreneur']",20210625 1714160000,debut new york stock exchang biggest us via entrepreneur,9,0.0,0
85,"['epic', 'us', 'china', 'crackdown', 'cash', 'burn']",20210625 1708030000,epic us china crackdown cash burn,6,0.0,-1
86,"['ambiti', 'china', 'crackdown', 'cash', 'burn', 'baba']",20210625 1652230000,ambiti china crackdown cash burn baba,6,0.0,-1
87,['valuat'],20210625 1638220000,valuat,1,0.0,0
88,"['valuat', 'target', 'billion', 'billion']",20210625 1630580000,valuat target billion billion,4,0.0,0
89,"['buy', 'stock', 'long', 'us']",20210625 1627430000,buy stock long us,4,0.0,0
90,"['ser', 'la', 'de', 'en', 'la']",20210625 1621460000,ser la de en la,5,0.0,0
91,"['watch', 'rush', 'place', 'upcom', 'cours', 'biggest', 'us', 'share', 'sale', 'compani', 'sinc']",20210625 1620000000,watch rush place upcom cours biggest us share sale compani sinc,11,0.296,0
92,"['rush', 'place', 'upcom', 'cours', 'biggest', 'us', 'share', 'sale', 'compani', 'sinc']",20210625 1615000000,rush place upcom cours biggest us share sale compani sinc,10,0.296,0
93,"['rush', 'place', 'upcom', 'cours', 'biggest', 'us', 'share', 'sale', 'compani', 'sinc']",20210625 1610000000,rush place upcom cours biggest us share sale compani sinc,10,0.296,0
94,"['know', 'recent']",20210625 1608070000,know recent,2,0.0,0
95,"['know', 'recent']",20210625 1608040000,know recent,2,0.0,0
96,['statesid'],20210625 1602330000,statesid,1,0.0,0
97,"['yet', 'anoth', 'gem', 'brought', 'wonder', 'wall', 'st', 'anoth', 'great', 'short', 'like', 'coin', 'stay', 'tune']",20210625 1600570000,yet anoth gem brought wonder wall st anoth great short like coin stay tune,14,0.765,0
98,"['latest', 'custom', 'news', 'valuat', 'us', 'amid', 'antitrust']",20210625 1600170000,latest custom news valuat us amid antitrust,7,0.0,-1
99,"['last', 'china', 'partnership', 'last', 'ago', 'also', 'player', 'still', 'stock', 'day', 'area', 'next', 'logic', 'chart', 'magnet']",20210625 1557210000,last china partnership last ago also player still stock day area next logic chart magnet,15,0.0,0
100,"['foreign', 'buy', 'china', 'size', 'week', 'review']",20210625 1546330000,foreign buy china size week review,6,0.0,0
101,"['cusp', 'one', 'biggest', 'us', 'past', 'decad', 'crackdown', 'tech', 'spoil', 'parti', 'de', 'technolog']",20210625 1546120000,cusp one biggest us past decad crackdown tech spoil parti de technolog,12,0.0,0
102,"['valuat', 'us', 'amid', 'antitrust', 'new', 'york', 'post']",20210625 1535020000,valuat us amid antitrust new york post,7,0.0,0
103,"['take', 'note', 'valuat', 'us', 'amid', 'antitrust']",20210625 1530050000,take note valuat us amid antitrust,6,0.0,0
104,"['valuat', 'us', 'amid', 'new', 'york', 'compani', 'china', 'go', 'public', 'new', 'york', 'stock', 'exchang', 'add']",20210625 1520110000,valuat us amid new york compani china go public new york stock exchang add,14,0.0,0
105,"['giant', 'billion', 'valuat']",20210625 1516060000,giant billion valuat,3,0.0,0
106,"['billion', 'valuat']",20210625 1515290000,billion valuat,2,0.0,0
107,"['renaiss', 'us', 'market', 'review']",20210625 1509260000,renaiss us market review,4,0.0,0
108,"['valuat', 'us', 'amid', 'antitrust']",20210625 1507230000,valuat us amid antitrust,4,0.0,-1
109,"['updat', 'giant', 'billion', 'us']",20210625 1506140000,updat giant billion us,4,0.0,0
110,"['valuat', 'us', 'amid', 'antitrust']",20210625 1506070000,valuat us amid antitrust,4,0.0,-1
111,"['compani', 'new', 'york', 'stock', 'exchang', 'alreadi', 'valu']",20210625 1505380000,compani new york stock exchang alreadi valu,7,0.0,0
112,"['china', 'valuat']",20210625 1500440000,china valuat,2,0.0,0
113,"['remind', 'appl', 'larg', 'stake', 'giant', 'reportedli', 'billion', 'valuat', 'upcom', 'us']",20210625 1500290000,remind appl larg stake giant reportedli billion valuat upcom us,10,0.0,0
114,"['giant', 'supposedli', 'consid', 'billion', 'assess', 'upcom', 'unit']",20210625 1458340000,giant supposedli consid billion assess upcom unit,7,0.0,0
115,"['china', 'list', 'frenzi', 'us', 'set']",20210625 1453130000,china list frenzi us set,5,0.0,0
116,"['ambiti', 'china', 'crackdown', 'cash', 'burn']",20210625 1436480000,ambiti china crackdown cash burn,5,0.0,-1
117,"['billion', 'new', 'york']",20210625 1429050000,billion new york,3,0.0,0
118,"['giant', 'reportedli', 'billion', 'valuat', 'upcom', 'us']",20210625 1427110000,giant reportedli billion valuat upcom us,6,0.0,0
119,"['conserv', 'billion', 'valuat', 'upcom', 'fortun']",20210625 1425270000,conserv billion valuat upcom fortun,5,0.0,0
120,"['giant', 'reportedli', 'billion', 'valuat', 'upcom', 'us']",20210625 1421060000,giant reportedli billion valuat upcom us,6,0.0,0
121,"['giant', 'reportedli', 'billion', 'valuat', 'upcom', 'us']",20210625 1418070000,giant reportedli billion valuat upcom us,6,0.0,0
122,"['cusp', 'one', 'biggest', 'us', 'past', 'decad', 'crackdown', 'tech', 'spoil', 'parti']",20210625 1416270000,cusp one biggest us past decad crackdown tech spoil parti,10,0.0,0
123,"['busi', 'insid', 'giant', 'reportedli', 'billion', 'valuat', 'upcom', 'us']",20210625 1416110000,busi insid giant reportedli billion valuat upcom us,8,0.0,0
124,"['giant', 'reportedli', 'billion', 'valuat', 'upcom', 'us']",20210625 1416050000,giant reportedli billion valuat upcom us,6,0.0,0
125,"['cusp', 'one', 'biggest', 'us', 'past', 'decad', 'crackdown', 'tech', 'spoil', 'parti']",20210625 1408040000,cusp one biggest us past decad crackdown tech spoil parti,10,0.0,0
127,"['giant', 'also', 'sa', 'billion', 'us']",20210625 1405470000,giant also sa billion us,5,0.0,0
128,"['cusp', 'one', 'biggest', 'us', 'past', 'decad', 'crackdown', 'tech', 'spoil', 'parti']",20210625 1404020000,cusp one biggest us past decad crackdown tech spoil parti,10,0.0,0
129,"['firm', 'billion', 'cover', 'first', 'day']",20210625 1359050000,firm billion cover first day,5,0.0,0
130,"['giant', 'billion', 'valuat']",20210625 1351300000,giant billion valuat,3,0.0,0
132,"['la', 'ma', 'firm', 'cover', 'first', 'day', 'see']",20210625 1341550000,la ma firm cover first day see,7,0.0,0
133,"['top', 'peer', 'play']",20210625 1339060000,top peer play,3,0.4939,0
134,"['last', 'china', 'partnership', 'ago', 'also', 'player', 'still', 'area', 'next', 'logic', 'chart', 'magnet', 'zone']",20210625 1337390000,last china partnership ago also player still area next logic chart magnet zone,13,0.0,0
136,"['giant', 'look', 'rais', 'much', 'billion', 'one', 'biggest', 'us', 'past']",20210625 1330010000,giant look rais much billion one biggest us past,9,0.0,0
137,"['top', 'stori', 'firm', 'cover', 'first', 'day', 'see']",20210625 1328000000,top stori firm cover first day see,7,0.2023,0
138,"['el', 'chino', 'de', 'el', 'de', 'de', 'mil', 'en', 'con', 'de', 'b', 'lo', 'ser', 'de', 'la', 'de']",20210625 1323320000,el chino de el de de mil en con de b lo ser de la de,16,0.0,0
139,"['junta', 'con', 'brazil', 'x', 'pega', 'appl', 'en']",20210625 1321360000,junta con brazil x pega appl en,7,0.0,0
140,"['rais', 'billion', 'valuat', 'alreadi', 'fulli', 'cover', 'first', 'yoy', 'loss']",20210625 1316480000,rais billion valuat alreadi fulli cover first yoy loss,9,-0.3182,0
141,"['cusp', 'one', 'biggest', 'us', 'past', 'decad', 'crackdown', 'tech', 'spoil', 'parti']",20210625 1315290000,cusp one biggest us past decad crackdown tech spoil parti,10,0.0,0
142,"['firm', 'billion', 'valuat']",20210625 1313160000,firm billion valuat,3,0.0,0
143,"['rush', 'slice', 'us']",20210625 1311390000,rush slice us,3,0.0,0
144,"['rush', 'slice', 'us']",20210625 1311390000,rush slice us,3,0.0,0
145,"['cusp', 'one', 'biggest', 'us', 'past', 'decad', 'crackdown', 'tech', 'spoil', 'parti']",20210625 1311370000,cusp one biggest us past decad crackdown tech spoil parti,10,0.0,0
146,"['rush', 'slice']",20210625 1310460000,rush slice,2,0.0,0
147,"['firm', 'cover', 'first', 'day', 'mail']",20210625 1307130000,firm cover first day mail,5,0.0,0
148,['new'],20210625 1300490000,new,1,0.0,0
149,"['would', 'one', 'biggest', 'compani', 'us', 'sinc', 'jack', 'ma', 'group', 'hold', 'went', 'public']",20210625 1300120000,would one biggest compani us sinc jack ma group hold went public,12,0.0,0
150,"['valuat', 'target', 'billion', 'billion']",20210625 1256110000,valuat target billion billion,4,0.0,0
151,"['ambiti', 'china', 'crackdown', 'cash', 'burn']",20210625 1249090000,ambiti china crackdown cash burn,5,0.0,-1
152,"['new', 'york']",20210625 1240020000,new york,2,0.0,0
153,"['billion', 'new', 'york']",20210625 1232450000,billion new york,3,0.0,0
154,"['stock', 'market', 'wealth', 'us', 'export', 'china', 'compani', 'rais', 'billion', 'price', 'rang', 'via']",20210625 1222400000,stock market wealth us export china compani rais billion price rang via,12,0.4939,0
155,"['target', 'valuat', 'less', 'initi', 'rang', 'potenti', 'express', 'concern', 'growth', 'chanc', 'regul', 'tech', 'sun', 'report']",20210625 1205290000,target valuat less initi rang potenti express concern growth chanc regul tech sun report,14,0.3818,0
156,"['compani', 'rais', 'billion', 'price', 'rang']",20210625 1150060000,compani rais billion price rang,5,0.0,0
157,"['china', 'list', 'frenzi', 'us', 'set']",20210625 1148410000,china list frenzi us set,5,0.0,0
158,['us'],20210625 1146560000,us,1,0.0,0
159,"['plan', 'de', 'de', 'la', 'fed', 'para', 'de', 'c', 'de', 'para']",20210625 1140520000,plan de de la fed para de c de para,10,0.0,0
160,"['valuat', 'target', 'billion', 'billion']",20210625 1138550000,valuat target billion billion,4,0.0,0
161,"['giant', 'billion', 'valuat']",20210625 1137570000,giant billion valuat,3,0.0,0
162,"['new', 'post', 'stock', 'news']",20210625 1135360000,new post stock news,4,0.0,0
163,"['firm', 'billion', 'cover', 'first', 'day', 'via']",20210625 1134300000,firm billion cover first day via,6,0.0,0
164,"['firm', 'cover', 'first', 'day']",20210625 1113570000,firm cover first day,4,0.0,0
165,['us'],20210625 1113160000,us,1,0.0,0
166,"['china', 'ride', 'servic', 'seek', 'us', 'piec', 'face', 'competit', 'probe', 'fake']",20210625 1110550000,china ride servic seek us piec face competit probe fake,10,-0.4767,0
167,"['appli', 'rais', 'new', 'york', 'initi', 'public', 'offer', 'set', 'powerhous', 'debut', 'compani', 'us', 'sinc']",20210625 1059390000,appli rais new york initi public offer set powerhous debut compani us sinc,13,0.0,0
